filename|oai_dc:dc.dc:subject.0|oai_dc:dc.dc:subject.1|oai_dc:dc@xmlns:dc|oai_dc:dc@xmlns:oai_dc|oai_dc:dc@xmlns:xsi|oai_dc:dc@xsi:schemaLocation|oai_dc:dcdc:coverage|oai_dc:dcdc:creator|oai_dc:dcdc:date|oai_dc:dcdc:description|oai_dc:dcdc:format|oai_dc:dcdc:identifier|oai_dc:dcdc:language|oai_dc:dcdc:publisher|oai_dc:dcdc:relation|oai_dc:dcdc:rights|oai_dc:dcdc:title|oai_dc:dcdc:type
g2002.xml|Catalogs, college|University of Tennessee, Knoxville|http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|2002-2003|University of Tennessee (Knoxville campus)|2002|Graduate catalog for the University of Tennessee, Knoxville; includes course descriptions, University requirements, degree requirements, and academic policies.|Application/pdf|http://diglib.lib.utk.edu/dlc/catalog/g2002.htm|en|University of Tennessee, Knoxville|Requires Adobe Acrobat Reader free from http://www.adobe.com/|Digital Image Copyright (c) 2004. The University of Tennessee Libraries. All Rights Reserved. Permission to use, copy, modify, and distribute these materials for educational, research, and not-for-profit purposes, without fee and without a signed licensing agreement, is hereby granted, provided that the above copyright notice and this paragraph appear in all copies, modifications, and distributions. For commercial license to use contact, University of Tennessee Libraries, Office of the Dean, Permissions, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000.|Graduate Catalog|Text
u1991.xml|Catalogs, college|University of Tennessee, Knoxville|http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|1991-1992|University of Tennessee (Knoxville campus)|1991|Undergraduate catalog for the University of Tennessee, Knoxville; includes course descriptions, University requirements, degree requirements, and academic policies.|Application/pdf|http://diglib.lib.utk.edu/dlc/catalog/u1991.htm|en|University of Tennessee, Knoxville|Requires Adobe Acrobat Reader free from http://www.adobe.com/|Digital Image Copyright (c) 2008. The University of Tennessee Libraries. All Rights Reserved. Permission to use, copy, modify, and distribute these materials for educational, research, and not-for-profit purposes, without fee and without a signed licensing agreement, is hereby granted, provided that the above copyright notice and this paragraph appear in all copies, modifications, and distributions. For commercial license to use contact, University of Tennessee Libraries, Office of the Dean, Permissions, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000.|Undergraduate Catalog|Text
u1985.xml|Catalogs, college|University of Tennessee, Knoxville|http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|1985-1986|University of Tennessee (Knoxville campus)|1985|Undergraduate catalog for the University of Tennessee, Knoxville; includes course descriptions, University requirements, degree requirements, and academic policies.|Application/pdf|http://diglib.lib.utk.edu/dlc/catalog/u1985.htm|en|University of Tennessee, Knoxville|Requires Adobe Acrobat Reader free from http://www.adobe.com/|Digital Image Copyright (c) 2007. The University of Tennessee Libraries. All Rights Reserved. Permission to use, copy, modify, and distribute these materials for educational, research, and not-for-profit purposes, without fee and without a signed licensing agreement, is hereby granted, provided that the above copyright notice and this paragraph appear in all copies, modifications, and distributions. For commercial license to use contact, University of Tennessee Libraries, Office of the Dean, Permissions, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000.|Undergraduate Catalog|Text
u1984.xml|Catalogs, college|University of Tennessee, Knoxville|http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|1984-1985|University of Tennessee (Knoxville campus)|1984|Undergraduate catalog for the University of Tennessee, Knoxville; includes course descriptions, University requirements, degree requirements, and academic policies.|Application/pdf|http://diglib.lib.utk.edu/dlc/catalog/u1984.htm|en|University of Tennessee, Knoxville|Requires Adobe Acrobat Reader free from http://www.adobe.com/|Digital Image Copyright (c) 2007. The University of Tennessee Libraries. All Rights Reserved. Permission to use, copy, modify, and distribute these materials for educational, research, and not-for-profit purposes, without fee and without a signed licensing agreement, is hereby granted, provided that the above copyright notice and this paragraph appear in all copies, modifications, and distributions. For commercial license to use contact, University of Tennessee Libraries, Office of the Dean, Permissions, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000.|Undergraduate Catalog|Text
u1990.xml|Catalogs, college|University of Tennessee, Knoxville|http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|1990-1991|University of Tennessee (Knoxville campus)|1990|Undergraduate catalog for the University of Tennessee, Knoxville; includes course descriptions, University requirements, degree requirements, and academic policies.|Application/pdf|http://diglib.lib.utk.edu/dlc/catalog/u1990.htm|en|University of Tennessee, Knoxville|Requires Adobe Acrobat Reader free from http://www.adobe.com/|Digital Image Copyright (c) 2008. The University of Tennessee Libraries. All Rights Reserved. Permission to use, copy, modify, and distribute these materials for educational, research, and not-for-profit purposes, without fee and without a signed licensing agreement, is hereby granted, provided that the above copyright notice and this paragraph appear in all copies, modifications, and distributions. For commercial license to use contact, University of Tennessee Libraries, Office of the Dean, Permissions, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000.|Undergraduate Catalog|Text
g2003.xml|Catalogs, college|University of Tennessee, Knoxville|http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|2003-2004|University of Tennessee (Knoxville campus)|2003|Graduate catalog for the University of Tennessee, Knoxville; includes course descriptions, University requirements, degree requirements, and academic policies.|Application/pdf|http://diglib.lib.utk.edu/dlc/catalog/g2003.htm|en|University of Tennessee, Knoxville|Requires Adobe Acrobat Reader free from http://www.adobe.com/|Digital Image Copyright (c) 2004. The University of Tennessee Libraries. All Rights Reserved. Permission to use, copy, modify, and distribute these materials for educational, research, and not-for-profit purposes, without fee and without a signed licensing agreement, is hereby granted, provided that the above copyright notice and this paragraph appear in all copies, modifications, and distributions. For commercial license to use contact, University of Tennessee Libraries, Office of the Dean, Permissions, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000.|Graduate Catalog|Text
g2001.xml|Catalogs, college|University of Tennessee, Knoxville|http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|2001-2002|University of Tennessee (Knoxville campus)|2001|Graduate catalog for the University of Tennessee, Knoxville; includes course descriptions, University requirements, degree requirements, and academic policies.|Application/pdf|http://diglib.lib.utk.edu/dlc/catalog/g2001.htm|en|University of Tennessee, Knoxville|Requires Adobe Acrobat Reader free from http://www.adobe.com/|Digital Image Copyright (c) 2004. The University of Tennessee Libraries. All Rights Reserved. Permission to use, copy, modify, and distribute these materials for educational, research, and not-for-profit purposes, without fee and without a signed licensing agreement, is hereby granted, provided that the above copyright notice and this paragraph appear in all copies, modifications, and distributions. For commercial license to use contact, University of Tennessee Libraries, Office of the Dean, Permissions, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000.|Graduate Catalog|Text
u1979.xml|Catalogs, college|University of Tennessee, Knoxville|http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|1979-1980|University of Tennessee (Knoxville campus)|1979|Undergraduate catalog for the University of Tennessee, Knoxville; includes course descriptions, University requirements, degree requirements, and academic policies.|Application/pdf|http://diglib.lib.utk.edu/dlc/catalog/u1979.htm|en|University of Tennessee, Knoxville|Requires Adobe Acrobat Reader free from http://www.adobe.com/|Digital Image Copyright (c) 2007. The University of Tennessee Libraries. All Rights Reserved. Permission to use, copy, modify, and distribute these materials for educational, research, and not-for-profit purposes, without fee and without a signed licensing agreement, is hereby granted, provided that the above copyright notice and this paragraph appear in all copies, modifications, and distributions. For commercial license to use contact, University of Tennessee Libraries, Office of the Dean, Permissions, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000.|Undergraduate Catalog|Text
u1992.xml|Catalogs, college|University of Tennessee, Knoxville|http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|1992-1993|University of Tennessee (Knoxville campus)|1992|Undergraduate catalog for the University of Tennessee, Knoxville; includes course descriptions, University requirements, degree requirements, and academic policies.|Application/pdf|http://diglib.lib.utk.edu/dlc/catalog/u1992.htm|en|University of Tennessee, Knoxville|Requires Adobe Acrobat Reader free from http://www.adobe.com/|Digital Image Copyright (c) 2008. The University of Tennessee Libraries. All Rights Reserved. Permission to use, copy, modify, and distribute these materials for educational, research, and not-for-profit purposes, without fee and without a signed licensing agreement, is hereby granted, provided that the above copyright notice and this paragraph appear in all copies, modifications, and distributions. For commercial license to use contact, University of Tennessee Libraries, Office of the Dean, Permissions, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000.|Undergraduate Catalog|Text
u1993.xml|Catalogs, college|University of Tennessee, Knoxville|http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|1993-1994|University of Tennessee (Knoxville campus)|1993|Undergraduate catalog for the University of Tennessee, Knoxville; includes course descriptions, University requirements, degree requirements, and academic policies.|Application/pdf|http://diglib.lib.utk.edu/dlc/catalog/u1993.htm|en|University of Tennessee, Knoxville|Requires Adobe Acrobat Reader free from http://www.adobe.com/|Digital Image Copyright (c) 2008. The University of Tennessee Libraries. All Rights Reserved. Permission to use, copy, modify, and distribute these materials for educational, research, and not-for-profit purposes, without fee and without a signed licensing agreement, is hereby granted, provided that the above copyright notice and this paragraph appear in all copies, modifications, and distributions. For commercial license to use contact, University of Tennessee Libraries, Office of the Dean, Permissions, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000.|Undergraduate Catalog|Text
u1978.xml|Catalogs, college|University of Tennessee, Knoxville|http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|1978-1979|University of Tennessee (Knoxville campus)|1978|Undergraduate catalog for the University of Tennessee, Knoxville; includes course descriptions, University requirements, degree requirements, and academic policies.|Application/pdf|http://diglib.lib.utk.edu/dlc/catalog/u1978.htm|en|University of Tennessee, Knoxville|Requires Adobe Acrobat Reader free from http://www.adobe.com/|Digital Image Copyright (c) 2007. The University of Tennessee Libraries. All Rights Reserved. Permission to use, copy, modify, and distribute these materials for educational, research, and not-for-profit purposes, without fee and without a signed licensing agreement, is hereby granted, provided that the above copyright notice and this paragraph appear in all copies, modifications, and distributions. For commercial license to use contact, University of Tennessee Libraries, Office of the Dean, Permissions, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000.|Undergraduate Catalog|Text
g2000.xml|Catalogs, college|University of Tennessee, Knoxville|http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|2000-2001|University of Tennessee (Knoxville campus)|2000|Graduate catalog for the University of Tennessee, Knoxville; includes course descriptions, University requirements, degree requirements, and academic policies.|Application/pdf|http://diglib.lib.utk.edu/dlc/catalog/g2000.htm|en|University of Tennessee, Knoxville|Requires Adobe Acrobat Reader free from http://www.adobe.com/|Digital Image Copyright (c) 2004. The University of Tennessee Libraries. All Rights Reserved. Permission to use, copy, modify, and distribute these materials for educational, research, and not-for-profit purposes, without fee and without a signed licensing agreement, is hereby granted, provided that the above copyright notice and this paragraph appear in all copies, modifications, and distributions. For commercial license to use contact, University of Tennessee Libraries, Office of the Dean, Permissions, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000.|Graduate Catalog|Text
u1986-87.xml|Catalogs, college|University of Tennessee, Knoxville|http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|1986-1988|University of Tennessee (Knoxville campus)|1986|Undergraduate catalog for the University of Tennessee, Knoxville; includes course descriptions, University requirements, degree requirements, and academic policies.|Application/pdf|http://diglib.lib.utk.edu/dlc/catalog/u1986-87.htm|en|University of Tennessee, Knoxville|Requires Adobe Acrobat Reader free from http://www.adobe.com/|Digital Image Copyright (c) 2008. The University of Tennessee Libraries. All Rights Reserved. Permission to use, copy, modify, and distribute these materials for educational, research, and not-for-profit purposes, without fee and without a signed licensing agreement, is hereby granted, provided that the above copyright notice and this paragraph appear in all copies, modifications, and distributions. For commercial license to use contact, University of Tennessee Libraries, Office of the Dean, Permissions, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000.|Undergraduate Catalog|Text
g2004.xml|Catalogs, college|University of Tennessee, Knoxville|http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|2004-2005|University of Tennessee (Knoxville campus)|2004|Graduate catalog for the University of Tennessee, Knoxville; includes course descriptions, University requirements, degree requirements, and academic policies.|Application/pdf|http://diglib.lib.utk.edu/dlc/catalog/g2004.htm|en|University of Tennessee, Knoxville|Requires Adobe Acrobat Reader free from http://www.adobe.com/|Digital Image Copyright (c) 2004. The University of Tennessee Libraries. All Rights Reserved. Permission to use, copy, modify, and distribute these materials for educational, research, and not-for-profit purposes, without fee and without a signed licensing agreement, is hereby granted, provided that the above copyright notice and this paragraph appear in all copies, modifications, and distributions. For commercial license to use contact, University of Tennessee Libraries, Office of the Dean, Permissions, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000.|Graduate Catalog|Text
u1983.xml|Catalogs, college|University of Tennessee, Knoxville|http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|1983-1984|University of Tennessee (Knoxville campus)|1983|Undergraduate catalog for the University of Tennessee, Knoxville; includes course descriptions, University requirements, degree requirements, and academic policies.|Application/pdf|http://diglib.lib.utk.edu/dlc/catalog/u1983.htm|en|University of Tennessee, Knoxville|Requires Adobe Acrobat Reader free from http://www.adobe.com/|Digital Image Copyright (c) 2007. The University of Tennessee Libraries. All Rights Reserved. Permission to use, copy, modify, and distribute these materials for educational, research, and not-for-profit purposes, without fee and without a signed licensing agreement, is hereby granted, provided that the above copyright notice and this paragraph appear in all copies, modifications, and distributions. For commercial license to use contact, University of Tennessee Libraries, Office of the Dean, Permissions, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000.|Undergraduate Catalog|Text
u1997.xml|Catalogs, college|University of Tennessee, Knoxville|http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|1997-1998|University of Tennessee (Knoxville campus)|1997|Undergraduate catalog for the University of Tennessee, Knoxville; includes course descriptions, University requirements, degree requirements, and academic policies.|Application/pdf|http://diglib.lib.utk.edu/dlc/catalog/u1997.htm|en|University of Tennessee, Knoxville|Requires Adobe Acrobat Reader free from http://www.adobe.com/|Digital Image Copyright (c) 2004. The University of Tennessee Libraries. All Rights Reserved. Permission to use, copy, modify, and distribute these materials for educational, research, and not-for-profit purposes, without fee and without a signed licensing agreement, is hereby granted, provided that the above copyright notice and this paragraph appear in all copies, modifications, and distributions. For commercial license to use contact, University of Tennessee Libraries, Office of the Dean, Permissions, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000.|Undergraduate Catalog|Text
u1996.xml|Catalogs, college|University of Tennessee, Knoxville|http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|1996-1997|University of Tennessee (Knoxville campus)|1996|Undergraduate catalog for the University of Tennessee, Knoxville; includes course descriptions, University requirements, degree requirements, and academic policies.|Application/pdf|http://diglib.lib.utk.edu/dlc/catalog/u1996.htm|en|University of Tennessee, Knoxville|Requires Adobe Acrobat Reader free from http://www.adobe.com/|Digital Image Copyright (c) 2004. The University of Tennessee Libraries. All Rights Reserved. Permission to use, copy, modify, and distribute these materials for educational, research, and not-for-profit purposes, without fee and without a signed licensing agreement, is hereby granted, provided that the above copyright notice and this paragraph appear in all copies, modifications, and distributions. For commercial license to use contact, University of Tennessee Libraries, Office of the Dean, Permissions, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000.|Undergraduate Catalog|Text
u1982.xml|Catalogs, college|University of Tennessee, Knoxville|http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|1982-1983|University of Tennessee (Knoxville campus)|1982|Undergraduate catalog for the University of Tennessee, Knoxville; includes course descriptions, University requirements, degree requirements, and academic policies.|Application/pdf|http://diglib.lib.utk.edu/dlc/catalog/u1982.htm|en|University of Tennessee, Knoxville|Requires Adobe Acrobat Reader free from http://www.adobe.com/|Digital Image Copyright (c) 2007. The University of Tennessee Libraries. All Rights Reserved. Permission to use, copy, modify, and distribute these materials for educational, research, and not-for-profit purposes, without fee and without a signed licensing agreement, is hereby granted, provided that the above copyright notice and this paragraph appear in all copies, modifications, and distributions. For commercial license to use contact, University of Tennessee Libraries, Office of the Dean, Permissions, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000.|Undergraduate Catalog|Text
g2005.xml|Catalogs, college|University of Tennessee, Knoxville|http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|2005-2006|University of Tennessee (Knoxville campus)|2005|Graduate catalog for the University of Tennessee, Knoxville; includes course descriptions, University requirements, degree requirements, and academic policies.|Application/pdf|http://diglib.lib.utk.edu/dlc/catalog/g2005.htm|en|University of Tennessee, Knoxville|Requires Adobe Acrobat Reader free from http://www.adobe.com/|Digital Image Copyright (c) 2005. The University of Tennessee Libraries. All Rights Reserved. Permission to use, copy, modify, and distribute these materials for educational, research, and not-for-profit purposes, without fee and without a signed licensing agreement, is hereby granted, provided that the above copyright notice and this paragraph appear in all copies, modifications, and distributions. For commercial license to use contact, University of Tennessee Libraries, Office of the Dean, Permissions, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000.|Graduate Catalog|Text
g2007.xml|Catalogs, college|University of Tennessee, Knoxville|http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|2007-2008|University of Tennessee (Knoxville campus)|2007|Graduate catalog for the University of Tennessee, Knoxville; includes course descriptions, University requirements, degree requirements, and academic policies.|Application/pdf|http://diglib.lib.utk.edu/dlc/catalog/g2007.htm|en|University of Tennessee, Knoxville|Requires Adobe Acrobat Reader free from http://www.adobe.com/|Digital Image Copyright (c) 2007. The University of Tennessee Libraries. All Rights Reserved. Permission to use, copy, modify, and distribute these materials for educational, research, and not-for-profit purposes, without fee and without a signed licensing agreement, is hereby granted, provided that the above copyright notice and this paragraph appear in all copies, modifications, and distributions. For commercial license to use contact, University of Tennessee Libraries, Office of the Dean, Permissions, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000.|Graduate Catalog|Text
u1994.xml|Catalogs, college|University of Tennessee, Knoxville|http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|1994-1995|University of Tennessee (Knoxville campus)|1994|Undergraduate catalog for the University of Tennessee, Knoxville; includes course descriptions, University requirements, degree requirements, and academic policies.|Application/pdf|http://diglib.lib.utk.edu/dlc/catalog/u1994.htm|en|University of Tennessee, Knoxville|Requires Adobe Acrobat Reader free from http://www.adobe.com/|Digital Image Copyright (c) 2007. The University of Tennessee Libraries. All Rights Reserved. Permission to use, copy, modify, and distribute these materials for educational, research, and not-for-profit purposes, without fee and without a signed licensing agreement, is hereby granted, provided that the above copyright notice and this paragraph appear in all copies, modifications, and distributions. For commercial license to use contact, University of Tennessee Libraries, Office of the Dean, Permissions, 1015 Volunteer Boulevard, Knoxville, TN 37996-1000.|Undergraduate Catalog|Text
